name,algorithm,k,silhouette_score,chi
kotek-11.png,kmeans,5,0.40379566829371616,29327.652362829314
kotek-11.png,kmeans,6,0.4023133259872574,28892.34487568064
kotek-11.png,kmeans,7,0.3991530914491572,27514.86647934799
kotek-11.png,kmeans,8,0.3843754639906492,26548.71547058115
kotek-11.png,kmeans,9,0.3927689314709879,27144.59097772283
kotek-11.png,kmeans,10,0.3906276288955337,26915.57357251814
kotek-11.png,kmeans,11,0.3877430312414346,27316.010107219267
kotek-11.png,kmeans,12,0.38183008724343,27086.472908938536
kotek-11.png,kmeans,13,0.38041346130064296,27069.940703568474
kotek-11.png,kmeans,14,0.368990584303278,26915.899025680916
kotek-11.png,kmeans,15,0.369612262760533,26837.80649059193
kotek-11.png,kmeans,16,0.36992118438242044,27014.713676117157
kotek-11.png,kmeans,17,0.3552700260639117,26560.427121982153
kotek-11.png,kmeans,18,0.35442536714580386,26409.414692188882
kotek-11.png,kmeans,19,0.3515844335105206,26453.972192153284
kotek-11.png,kmeans,20,0.35017538886117033,26361.119956086484
kotek-11.png,kmedoids,5,0.3991370210695445,29166.69263164079
kotek-11.png,kmedoids,6,0.38694255488141893,28488.153945022314
kotek-11.png,kmedoids,7,0.35664524111833795,26885.781964367576
kotek-11.png,kmedoids,8,0.35446719513089125,25360.925149921455
kotek-11.png,kmedoids,9,0.35878991353117345,25235.25571651916
kotek-11.png,kmedoids,10,0.35372591847937623,25175.772340922806
kotek-11.png,kmedoids,11,0.3555915362717419,25785.05373403074
kotek-11.png,kmedoids,12,0.3613778555248443,26559.567264183348
kotek-11.png,kmedoids,13,0.3542382253422022,26475.14157403332
kotek-11.png,kmedoids,14,0.3405048808005443,25848.806905901878
kotek-11.png,kmedoids,15,0.3389678471050401,25594.58162221495
kotek-11.png,kmedoids,16,0.34218898688730354,25641.980572415727
kotek-11.png,kmedoids,17,0.34002774923979906,25642.63661377997
kotek-11.png,kmedoids,18,0.3400775669261177,25685.836476065695
kotek-11.png,kmedoids,19,0.3359258105448926,25160.2654146267
kotek-11.png,kmedoids,20,0.3373032170339013,24807.05571656816
kotek-12.png,kmeans,5,0.47435622528136756,22973.823183478708
kotek-12.png,kmeans,6,0.46912632903144436,24173.105042159445
kotek-12.png,kmeans,7,0.4543890207193675,25342.5667357391
kotek-12.png,kmeans,8,0.45952536738521765,25060.0272764022
kotek-12.png,kmeans,9,0.43599590995049187,25345.16985707516
kotek-12.png,kmeans,10,0.4343002698837086,25287.112903141
kotek-12.png,kmeans,11,0.42521333502504444,24801.04198728807
kotek-12.png,kmeans,12,0.4191742450142873,25162.737540416914
kotek-12.png,kmeans,13,0.4076886468732578,25121.920322226793
kotek-12.png,kmeans,14,0.4049657894170073,24875.33030741734
kotek-12.png,kmeans,15,0.4051330381149082,24870.684453061644
kotek-12.png,kmeans,16,0.4002177639676631,24850.23154316098
kotek-12.png,kmeans,17,0.3997406603154027,25074.80872539443
kotek-12.png,kmeans,18,0.39455347274619806,24682.144605327012
kotek-12.png,kmeans,19,0.39358829784732,24836.5765207343
kotek-12.png,kmeans,20,0.38810295370111575,24700.518912572476
kotek-12.png,kmedoids,5,0.44075718867939945,20711.64636030279
kotek-12.png,kmedoids,6,0.44863959273845777,23357.945688809705
kotek-12.png,kmedoids,7,0.4275310003620786,22803.247711517237
kotek-12.png,kmedoids,8,0.4147570280637112,23159.34096117925
kotek-12.png,kmedoids,9,0.40041264710086555,23107.305962462317
kotek-12.png,kmedoids,10,0.3960123431816806,23291.774348223153
kotek-12.png,kmedoids,11,0.38493279243935513,22452.823427650215
kotek-12.png,kmedoids,12,0.37684157815005437,21803.61763798829
kotek-12.png,kmedoids,13,0.37019461559377875,21278.53594325731
kotek-12.png,kmedoids,14,0.37611952087317446,22069.44389723765
kotek-12.png,kmedoids,15,0.374715162616706,22378.579951681157
kotek-12.png,kmedoids,16,0.37448571798063907,23744.977302379582
kotek-12.png,kmedoids,17,0.36779761575974523,23264.17908348051
